SpotType	ProbeName	ensembl_gene_id	Color
bright_corner	GE_BrightCorner	*	Violet
dark_corner	DarkCorner	*	Blue
gene	A_*	*	Black
negative	3xSLv1	*	Green
positive	*E1A_*	*	Red
positive	DCP_*	*	Red
positive	ERCC*	*	Red
positive	ETG*	*	Red
